kernel;num-executors;executor-cores;time
top_20_hashtags;1;1;27.590614639222622
top_20_hashtags;1;1;24.59448053687811
top_20_hashtags;1;1;26.326548786833882
top_20_hashtags;1;1;23.493286626413465
top_20_hashtags;1;1;26.11181685142219
top_20_hashtags;1;1;23.762225229293108
top_20_hashtags;1;1;23.548417706042528
top_20_hashtags;1;1;23.712562575936317
top_20_hashtags;1;1;24.68497372791171
top_20_hashtags;1;1;23.48348137922585
top_20_hashtags;1;2;25.669545393437147
top_20_hashtags;1;2;24.63233270123601
top_20_hashtags;1;2;28.34664461761713
top_20_hashtags;1;2;25.54409164749086
top_20_hashtags;1;2;23.22142705321312
top_20_hashtags;1;2;25.261989127844572
top_20_hashtags;1;2;25.092411728575826
top_20_hashtags;1;2;25.467119853943586
top_20_hashtags;1;2;23.428053956478834
top_20_hashtags;1;2;26.376203056424856
top_20_hashtags;1;3;25.807569947093725
top_20_hashtags;1;3;25.63979647681117
top_20_hashtags;1;3;26.09086848795414
top_20_hashtags;1;3;26.267256235703826
top_20_hashtags;1;3;25.603284800425172
top_20_hashtags;1;3;27.310279864817858
top_20_hashtags;1;3;24.819318529218435
top_20_hashtags;1;3;25.52882037125528
top_20_hashtags;1;3;24.37706658616662
top_20_hashtags;1;3;26.073271229863167
top_20_hashtags;1;4;23.21005405113101
top_20_hashtags;1;4;24.08629009500146
top_20_hashtags;1;4;24.179114950820804
top_20_hashtags;1;4;25.103735648095608
top_20_hashtags;1;4;27.561550131067634
top_20_hashtags;1;4;27.09695167839527
top_20_hashtags;1;4;26.12746118940413
top_20_hashtags;1;4;27.647197421640158
top_20_hashtags;1;4;26.585944890975952
top_20_hashtags;1;4;24.881188390776515
top_20_hashtags;2;1;27.278409531340003
top_20_hashtags;2;1;26.260026017203927
top_20_hashtags;2;1;23.480480287224054
top_20_hashtags;2;1;23.393359016627073
top_20_hashtags;2;1;24.942211896181107
top_20_hashtags;2;1;25.647490214556456
top_20_hashtags;2;1;27.47897968813777
top_20_hashtags;2;1;25.9565187394619
top_20_hashtags;2;1;25.932343857362866
top_20_hashtags;2;1;25.611635280773044
top_20_hashtags;2;2;26.685845846310258
top_20_hashtags;2;2;23.52888328395784
top_20_hashtags;2;2;24.427168544381857
top_20_hashtags;2;2;23.354620957747102
top_20_hashtags;2;2;27.120736237615347
top_20_hashtags;2;2;23.34605581127107
top_20_hashtags;2;2;28.811256570741534
top_20_hashtags;2;2;27.71101751551032
top_20_hashtags;2;2;24.860450200736523
top_20_hashtags;2;2;25.72947556525469
top_20_hashtags;2;3;25.44685068912804
top_20_hashtags;2;3;23.1618393342942
top_20_hashtags;2;3;26.811164656654
top_20_hashtags;2;3;26.132170863449574
top_20_hashtags;2;3;25.61389040388167
top_20_hashtags;2;3;26.0362646933645
top_20_hashtags;2;3;28.550886161625385
top_20_hashtags;2;3;25.8044698163867
top_20_hashtags;2;3;26.635520420968533
top_20_hashtags;2;3;27.119250286370516
top_20_hashtags;2;4;28.140199610963464
top_20_hashtags;2;4;24.174957141280174
top_20_hashtags;2;4;25.715348225086927
top_20_hashtags;2;4;23.40712500549853
top_20_hashtags;2;4;24.83683775551617
top_20_hashtags;2;4;26.198098104447126
top_20_hashtags;2;4;25.21627046726644
top_20_hashtags;2;4;27.05600444227457
top_20_hashtags;2;4;25.517570918425918
top_20_hashtags;2;4;26.61835600808263
top_20_hashtags;3;1;26.855098836123943
top_20_hashtags;3;1;27.854438161477447
top_20_hashtags;3;1;23.519211545586586
top_20_hashtags;3;1;23.550895674154162
top_20_hashtags;3;1;27.764828339219093
top_20_hashtags;3;1;24.014827953651547
top_20_hashtags;3;1;27.011465307325125
top_20_hashtags;3;1;26.89767966978252
top_20_hashtags;3;1;25.617568301036954
top_20_hashtags;3;1;23.739673228934407
top_20_hashtags;3;2;26.730918617919087
top_20_hashtags;3;2;25.505968291312456
top_20_hashtags;3;2;25.612019140273333
top_20_hashtags;3;2;25.056728437542915
top_20_hashtags;3;2;26.11504595912993
top_20_hashtags;3;2;22.847826590761542
top_20_hashtags;3;2;23.13028171285987
top_20_hashtags;3;2;26.42734520509839
top_20_hashtags;3;2;24.437379091978073
top_20_hashtags;3;2;23.016928911209106
top_20_hashtags;3;3;25.88870355859399
top_20_hashtags;3;3;28.858630334958434
top_20_hashtags;3;3;25.75625605881214
top_20_hashtags;3;3;23.774806747213006
top_20_hashtags;3;3;24.512132668867707
top_20_hashtags;3;3;25.00672321021557
top_20_hashtags;3;3;26.308254843577743
top_20_hashtags;3;3;25.503368340432644
top_20_hashtags;3;3;24.91583538800478
top_20_hashtags;3;3;26.129074761644006
top_20_hashtags;3;4;23.230407789349556
top_20_hashtags;3;4;27.268222484737635
top_20_hashtags;3;4;26.698022400960326
top_20_hashtags;3;4;25.72063228674233
top_20_hashtags;3;4;26.917758587747812
top_20_hashtags;3;4;25.75173019245267
top_20_hashtags;3;4;27.815580355003476
top_20_hashtags;3;4;25.98850291222334
top_20_hashtags;3;4;29.073649890720844
top_20_hashtags;3;4;24.19866956025362
hashtag_friends;1;1;28.40274396724999
hashtag_friends;1;1;33.618445336818695
hashtag_friends;1;1;31.98313624970615
hashtag_friends;1;1;27.67639224603772
hashtag_friends;1;1;27.131520304828882
hashtag_friends;1;1;26.71557947807014
hashtag_friends;1;1;29.55606498196721
hashtag_friends;1;1;27.211670396849513
hashtag_friends;1;1;29.731405027210712
hashtag_friends;1;1;26.716352893039584
hashtag_friends;1;2;29.46453040651977
hashtag_friends;1;2;25.974571807309985
hashtag_friends;1;2;30.18538028933108
hashtag_friends;1;2;27.546123007312417
hashtag_friends;1;2;29.992685180157423
hashtag_friends;1;2;27.22826719097793
hashtag_friends;1;2;28.096509722992778
hashtag_friends;1;2;28.399189680814743
hashtag_friends;1;2;26.905622703954577
hashtag_friends;1;2;30.244970524683595
hashtag_friends;1;3;28.28659918345511
hashtag_friends;1;3;25.682805500924587
hashtag_friends;1;3;27.95541567914188
hashtag_friends;1;3;29.750461757183075
hashtag_friends;1;3;27.269450396299362
hashtag_friends;1;3;29.26387238688767
hashtag_friends;1;3;30.54814495705068
hashtag_friends;1;3;28.149471076205373
hashtag_friends;1;3;29.898303972557187
hashtag_friends;1;3;28.225029800087214
hashtag_friends;1;4;29.014837618917227
hashtag_friends;1;4;26.483167534694076
hashtag_friends;1;4;27.35327333584428
hashtag_friends;1;4;28.99871499463916
hashtag_friends;1;4;29.85468591749668
hashtag_friends;1;4;28.402819517999887
hashtag_friends;1;4;28.64841928333044
hashtag_friends;1;4;27.632537711411715
hashtag_friends;1;4;29.950318848714232
hashtag_friends;1;4;29.19432620331645
hashtag_friends;2;1;30.261921633034945
hashtag_friends;2;1;26.49097822420299
hashtag_friends;2;1;29.0366284083575
hashtag_friends;2;1;29.44220831990242
hashtag_friends;2;1;26.143046645447612
hashtag_friends;2;1;27.117450246587396
hashtag_friends;2;1;28.70224979147315
hashtag_friends;2;1;29.3209440857172
hashtag_friends;2;1;30.39635355398059
hashtag_friends;2;1;28.923300944268703
hashtag_friends;2;2;26.570552168413997
hashtag_friends;2;2;29.34373752400279
hashtag_friends;2;2;28.70177132450044
hashtag_friends;2;2;29.001354539766908
hashtag_friends;2;2;25.88619320653379
hashtag_friends;2;2;33.18524826131761
hashtag_friends;2;2;27.911371594294906
hashtag_friends;2;2;28.02594070136547
hashtag_friends;2;2;30.424283757805824
hashtag_friends;2;2;28.903954772278666
hashtag_friends;2;3;28.02057633176446
hashtag_friends;2;3;29.41741770133376
hashtag_friends;2;3;29.522381437942386
hashtag_friends;2;3;28.632954366505146
hashtag_friends;2;3;28.549007538706064
hashtag_friends;2;3;29.837117495015264
hashtag_friends;2;3;26.115074910223484
hashtag_friends;2;3;27.05405915901065
hashtag_friends;2;3;25.88577752560377
hashtag_friends;2;3;27.271646358072758
hashtag_friends;2;4;28.247770281508565
hashtag_friends;2;4;28.726345686241984
hashtag_friends;2;4;32.424251452088356
hashtag_friends;2;4;27.69951997511089
hashtag_friends;2;4;28.733520520851016
hashtag_friends;2;4;29.414980195462704
hashtag_friends;2;4;27.66155570372939
hashtag_friends;2;4;26.664633141830564
hashtag_friends;2;4;28.262306040152907
hashtag_friends;2;4;29.086119044572115
hashtag_friends;3;1;29.645372660830617
hashtag_friends;3;1;27.574353858828545
hashtag_friends;3;1;27.181664742529392
hashtag_friends;3;1;27.35613235644996
hashtag_friends;3;1;27.4162621460855
hashtag_friends;3;1;29.145513469353318
hashtag_friends;3;1;26.68091101758182
hashtag_friends;3;1;28.658199856057763
hashtag_friends;3;1;29.96326445415616
hashtag_friends;3;1;34.88153386116028
hashtag_friends;3;2;29.317661929875612
hashtag_friends;3;2;25.66978483647108
hashtag_friends;3;2;30.14396263845265
hashtag_friends;3;2;28.556018287315965
hashtag_friends;3;2;29.461643524467945
hashtag_friends;3;2;25.664210429415107
hashtag_friends;3;2;29.66600759513676
hashtag_friends;3;2;29.15825985185802
hashtag_friends;3;2;30.421296317130327
hashtag_friends;3;2;28.846970096230507
hashtag_friends;3;3;29.97054112330079
hashtag_friends;3;3;27.17786204814911
hashtag_friends;3;3;29.907319981604815
hashtag_friends;3;3;32.21786103770137
hashtag_friends;3;3;30.373761888593435
hashtag_friends;3;3;26.922634603455663
hashtag_friends;3;3;28.214616546407342
hashtag_friends;3;3;27.36159022897482
hashtag_friends;3;3;30.017274912446737
hashtag_friends;3;3;27.488544395193458
hashtag_friends;3;4;28.826892191544175
hashtag_friends;3;4;29.02055685594678
hashtag_friends;3;4;27.143491001799703
hashtag_friends;3;4;29.68142195418477
hashtag_friends;3;4;29.13721245713532
hashtag_friends;3;4;29.86635229177773
hashtag_friends;3;4;26.769029770046473
hashtag_friends;3;4;28.652981348335743
hashtag_friends;3;4;31.972875360399485
hashtag_friends;3;4;28.742701889947057
